base_revision,id,name,family,positioning,hit,lifecycle,required,color_group,color_rank,priority_source,notes
1,arabescato-corchia,Arabescato Corchia,Arabescato Corchia,unknown,0,unconfirmed,0,neutral,-75.6,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,arabescato-vagli,Arabescato Vagli,Arabescato Vagli,unknown,0,unconfirmed,0,neutral,-90.06,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-bone,Architeq Bone,Architeq,unknown,0,unconfirmed,0,neutral,-96.86,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-cacao,Architeq Cacao,Architeq,unknown,0,unconfirmed,0,warm,-35.6,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-clay,Architeq Clay,Architeq,unknown,0,unconfirmed,0,warm,-86.68,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-cocoa,Architeq Cocoa,Architeq,unknown,0,unconfirmed,0,unconfirmed,,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-earth,Architeq Earth,Architeq,unknown,0,unconfirmed,0,warm,-73.32,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-graphite,Architeq Graphite,Architeq,unknown,0,unconfirmed,0,warm,-17.32,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-mist,Architeq Mist,Architeq,unknown,0,unconfirmed,0,warm,-87.45,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-moss,Architeq Moss,Architeq,unknown,0,unconfirmed,0,neutral,-66.05,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-pink,Architeq Pink,Architeq,unknown,0,unconfirmed,0,warm,-87.01,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-sand,Architeq Sand,Architeq,unknown,0,unconfirmed,0,warm,-93.74,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-smoke,Architeq Smoke,Architeq,unknown,0,unconfirmed,0,warm,-59.12,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,architeq-storm,Architeq Storm,Architeq,unknown,0,unconfirmed,0,neutral,-72.33,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,ariel-bianco,Ariel Bianco,Ariel Bianco,unknown,0,unconfirmed,0,neutral,-95.1,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,armani-noir,Armani Noir,Armani Noir,unknown,0,unconfirmed,0,unconfirmed,,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,atlantic-ocean,Atlantic Ocean,Atlantic Ocean,unknown,0,unconfirmed,0,neutral,-73.72,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,bianco-dior,Bianco Dior,Bianco Dior,unknown,0,unconfirmed,0,neutral,-35.77,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,bianco-gioia,Bianco Gioia,Bianco Gioia,unknown,0,unconfirmed,0,neutral,-91.74,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,bianco-stratura,Bianco Stratura,Bianco Stratura,unknown,0,unconfirmed,0,neutral,-95.63,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
1,calacatta-borghini,Calacatta Borghini,Calacatta Borghini,unknown,0,unconfirmed,0,neutral,-85.15,Merch confirmation needed,Color order derived from production preview brightness; draft for Merch review.
