base_revision,id,room,title,type,locked,width_mm,height_mm,visibility_tier,visibility_score,visibility_basis,intentional_repeat
1,APS-R1-FLOOR,1,Bathroom floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R2-FLOOR,2,Living space floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R3-FLOOR,3,Meeting room floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R4-FLOOR,4,Slab gallery floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R5-FLOOR,5,Mini slab gallery floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R6-FLOOR,6,Waterfall gallery floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R7-FLOOR,7,Kitchen floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R8-FLOOR,8,Tile library floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-H-FLOOR-4.95,0,Fixed gallery floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-H-FLOOR-16.5,0,Fixed gallery floor,floor,1,1198,1198,commercial,30,Accessible on a guided showroom visit; provisional map classification.,0
1,APS-R4-SL-01-front,4,Sliding panel 1 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-02-front,4,Sliding panel 2 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-03-front,4,Sliding panel 3 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-04-front,4,Sliding panel 4 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-05-front,4,Sliding panel 5 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-06-front,4,Sliding panel 6 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-07-front,4,Sliding panel 7 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-08-front,4,Sliding panel 8 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-09-front,4,Sliding panel 9 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-10-front,4,Sliding panel 10 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-11-front,4,Sliding panel 11 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-12-front,4,Sliding panel 12 · front,sliding,0,1600,3200,prime,85,Proposed first-presented face at the mirrored bank opening; confirm closed-bank presentation order.,0
1,APS-R4-SL-13-front,4,Sliding panel 13 · front,sliding,0,1600,3200,prime,85,Proposed first-presented face at the mirrored bank opening; confirm closed-bank presentation order.,0
1,APS-R4-SL-14-front,4,Sliding panel 14 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-15-front,4,Sliding panel 15 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-16-front,4,Sliding panel 16 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-17-front,4,Sliding panel 17 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-18-front,4,Sliding panel 18 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-19-front,4,Sliding panel 19 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
1,APS-R4-SL-20-front,4,Sliding panel 20 · front,sliding,0,1600,3200,secondary,35,"Inside the sliding bank; accessible after pull-out, not assumed visible when closed.",0
